Date,Open,High,Low,Close,Adj Close,Volume,date,z
1980/12/12,0.128347993,0.128905997,0.128347993,0.000969298,0.099449523,469033600,1980/12/12,0.447533274
1980/12/15,0.122210003,0.122210003,0.121652,0.000887391,0.094261132,175884800,1980/12/15,0.447722149
1980/12/16,0.113280997,0.113280997,0.112723,0.000778169,0.087342627,105728000,1980/12/16,0.447974007
1980/12/17,0.115512997,0.116071001,0.115512997,0.000812297,0.089504413,86441600,1980/12/17,0.44789531
1980/12/18,0.118862003,0.119419999,0.118862003,0.000853263,0.092099376,73449600,1980/12/18,0.447800845
1980/12/19,0.126115993,0.126673996,0.126115993,0.000941996,0.097720057,48630400,1980/12/19,0.447596232
1980/12/22,0.132254004,0.132813007,0.132254004,0.001017078,0.102476098,37363200,1980/12/22,0.447423096
1980/12/23,0.137834996,0.138393,0.137834996,0.001085346,0.106800474,46950400,1980/12/23,0.447265674
1980/12/24,0.145089,0.145647004,0.145089,0.001174079,0.112421148,48003200,1980/12/24,0.447061062
1980/12/26,0.158482,0.159040004,0.158482,0.001337906,0.122798607,55574400,1980/12/26,0.446683287
1980/12/29,0.160714,0.161272004,0.160714,0.001365208,0.124528058,93161600,1980/12/29,0.446620329
1980/12/30,0.157365993,0.157365993,0.156808004,0.001317429,0.121501572,68880000,1980/12/30,0.446730503
1980/12/31,0.152902007,0.152902007,0.152344003,0.001262824,0.118042648,35750400,1980/12/31,0.44685642
1981/1/2,0.154018,0.155134007,0.154018,0.001283301,0.119339742,21660800,1981/1/2,0.446809201
1981/1/5,0.151227996,0.151227996,0.150670007,0.001242347,0.116745569,35728000,1981/1/5,0.446903638
1981/1/6,0.144530997,0.144530997,0.143972993,0.001160428,0.111556388,45158400,1981/1/6,0.447092542
1981/1/7,0.138393,0.138393,0.137834996,0.001085346,0.106800474,55686400,1981/1/7,0.447265674
1981/1/8,0.135602996,0.135602996,0.135045007,0.001051218,0.104638636,39827200,1981/1/8,0.447344372
1981/1/9,0.142298996,0.142857,0.142298996,0.001139951,0.110259332,21504000,1981/1/9,0.44713976
1981/1/12,0.142298996,0.142298996,0.141183004,0.0011263,0.109394558,23699200,1981/1/12,0.44717124
1981/1/13,0.136719003,0.136719003,0.136161,0.001064869,0.105503358,23049600,1981/1/13,0.447312893
1981/1/14,0.136719003,0.137277007,0.136719003,0.001071695,0.105935708,14291200,1981/1/14,0.447297154
1981/1/15,0.139509007,0.140625,0.139509007,0.001105823,0.108097523,14067200,1981/1/15,0.447218457
1981/1/16,0.138951004,0.138951004,0.138393,0.001092172,0.107232802,13395200,1981/1/16,0.447249936
1981/1/19,0.146762997,0.147321001,0.146762997,0.001194556,0.113718309,41574400,1981/1/19,0.447013841
1981/1/20,0.142857,0.142857,0.142298996,0.001139951,0.110259332,30083200,1981/1/20,0.44713976
1981/1/21,0.145089,0.146204993,0.145089,0.001174079,0.112421148,15904000,1981/1/21,0.447061062
1981/1/22,0.146762997,0.147879004,0.146762997,0.001194556,0.113718309,35548800,1981/1/22,0.447013841
1981/1/23,0.146762997,0.147321001,0.146204993,0.00118773,0.113285899,11222400,1981/1/23,0.447029582
1981/1/26,0.144530997,0.144530997,0.143972993,0.001160428,0.111556388,24640000,1981/1/26,0.447092542
1981/1/27,0.143972993,0.143972993,0.142857,0.001146776,0.110691689,23699200,1981/1/27,0.44712402
1981/1/28,0.138951004,0.138951004,0.138393,0.001092172,0.107232802,28156800,1981/1/28,0.447249936
1981/1/29,0.133928999,0.133928999,0.133370996,0.001030741,0.103341535,43904000,1981/1/29,0.447391591
1981/1/30,0.127232,0.127232,0.126115993,0.000941996,0.097720057,46188800,1981/1/30,0.447596232
1981/2/2,0.119419999,0.119419999,0.118862003,0.000853263,0.092099376,23766400,1981/2/2,0.447800845
1981/2/3,0.123326004,0.123884,0.123326004,0.000907868,0.095558271,19152000,1981/2/3,0.447674929
1981/2/4,0.127790004,0.128347993,0.127790004,0.000962473,0.099017166,27865600,1981/2/4,0.447549013
1981/2/5,0.127790004,0.128905997,0.127790004,0.000962473,0.099017166,7929600,1981/2/5,0.447549013
1981/2/6,0.128347993,0.128905997,0.128347993,0.000969298,0.099449523,13865600,1981/2/6,0.447533274
