Date,Open,High,Low,Close,Adj Close,Volume,date,z
1986/8/13,0,0.21875,0.210938007,1.05E-05,0.198057145,18899200,1986/8/13,0.538549125
1986/8/14,0,0.230469003,0.222655997,4.20E-05,0.209059566,4160000,1986/8/14,0.538459429
1986/8/15,0,0.222655997,0.21875,3.15E-05,0.205392078,4332800,1986/8/15,0.538489328
1986/8/18,0,0.21875,0.210938007,1.05E-05,0.198057145,2828800,1986/8/18,0.538549125
1986/8/19,0,0.21875,0.214844003,2.10E-05,0.201724648,2060800,1986/8/19,0.538519226
1986/8/20,0,0.226563007,0.214844003,2.10E-05,0.201724648,684800,1986/8/20,0.538519226
1986/8/21,0,0.234375,0.222655997,4.20E-05,0.209059566,883200,1986/8/21,0.538459429
1986/8/22,0,0.230469003,0.222655997,4.20E-05,0.209059566,1734400,1986/8/22,0.538459429
1986/8/25,0,0.222655997,0.214844003,2.10E-05,0.201724648,627200,1986/8/25,0.538519226
1986/8/26,0,0.222655997,0.214844003,2.10E-05,0.201724648,793600,1986/8/26,0.538519226
1986/8/27,0,0.21875,0.214844003,2.10E-05,0.201724648,2540800,1986/8/27,0.538519226
1986/8/28,0,0.21875,0.207030997,0,0.194388717,1555200,1986/8/28,0.538579032
1986/8/29,0,0.21875,0.207030997,0,0.194388717,1548800,1986/8/29,0.538579032
1986/9/2,0,0.230469003,0.222655997,4.20E-05,0.209059566,1068800,1986/9/2,0.538459429
1986/9/3,0,0.234375,0.222655997,4.20E-05,0.209059566,403200,1986/9/3,0.538459429
1986/9/4,0,0.257813007,0.25,0.00011551,0.23473376,1804800,1986/9/4,0.538250122
1986/9/5,0,0.257813007,0.246094003,0.00010501,0.231066376,2137600,1986/9/5,0.53828002
1986/9/8,0,0.253906012,0.242188007,9.45E-05,0.227398887,492800,1986/9/8,0.538309919
1986/9/9,0,0.261718988,0.25,0.00011551,0.23473376,499200,1986/9/9,0.538250122
1986/9/10,0,0.273438007,0.261718988,0.000147014,0.245737091,934400,1986/9/10,0.538160419
1986/9/11,0,0.242188007,0.230469003,6.30E-05,0.216395482,1798400,1986/9/11,0.538399623
1986/9/12,0,0.242188007,0.234375,7.35E-05,0.220062926,1286400,1986/9/12,0.538369725
1986/9/15,0,0.269531012,0.257813007,0.000136513,0.242069751,998400,1986/9/15,0.538190316
1986/9/16,0,0.28125,0.269531012,0.000168014,0.253072172,1254400,1986/9/16,0.53810062
1986/9/17,0,0.296875,0.289063007,0.00022052,0.271411568,1356800,1986/9/17,0.53795111
1986/9/18,0,0.300781012,0.289063007,0.00022052,0.271411568,352000,1986/9/18,0.53795111
1986/9/19,0,0.300781012,0.289063007,0.00022052,0.271411568,1024000,1986/9/19,0.53795111
1986/9/22,0,0.289063007,0.277343988,0.000189017,0.260408133,780800,1986/9/22,0.538040814
1986/9/23,0,0.28125,0.269531012,0.000168014,0.253072172,1798400,1986/9/23,0.53810062
1986/9/24,0,0.285156012,0.273438007,0.000178517,0.256740481,1312000,1986/9/24,0.538070715
1986/9/25,0,0.28125,0.265625,0.000157514,0.249404609,1657600,1986/9/25,0.53813052
1986/9/26,0,0.277343988,0.265625,0.000157514,0.249404609,768000,1986/9/26,0.53813052
1986/9/29,0,0.277343988,0.269531012,0.000168014,0.253072172,473600,1986/9/29,0.53810062
1986/9/30,0,0.285156012,0.269531012,0.000168014,0.253072172,192000,1986/9/30,0.53810062
1986/10/1,0,0.285156012,0.269531012,0.000168014,0.253072172,371200,1986/10/1,0.53810062
1986/10/2,0,0.285156012,0.269531012,0.000168014,0.253072172,224000,1986/10/2,0.53810062
1986/10/3,0,0.28125,0.269531012,0.000168014,0.253072172,44800,1986/10/3,0.53810062
1986/10/6,0,0.285156012,0.273438007,0.000178517,0.256740481,128000,1986/10/6,0.538070715
1986/10/7,0,0.285156012,0.273438007,0.000178517,0.256740481,198400,1986/10/7,0.538070715
1986/10/8,0,0.285156012,0.273438007,0.000178517,0.256740481,204800,1986/10/8,0.538070715
1986/10/9,0,0.285156012,0.273438007,0.000178517,0.256740481,793600,1986/10/9,0.538070715
1986/10/10,0,0.285156012,0.273438007,0.000178517,0.256740481,224000,1986/10/10,0.538070715
1986/10/13,0,0.285156012,0.277343988,0.000189017,0.260408133,454400,1986/10/13,0.538040814
1986/10/14,0,0.289063007,0.277343988,0.000189017,0.260408133,480000,1986/10/14,0.538040814
1986/10/15,0,0.289063007,0.277343988,0.000189017,0.260408133,352000,1986/10/15,0.538040814
1986/10/16,0,0.289063007,0.277343988,0.000189017,0.260408133,352000,1986/10/16,0.538040814
1986/10/17,0,0.289063007,0.277343988,0.000189017,0.260408133,83200,1986/10/17,0.538040814
1986/10/20,0,0.289063007,0.277343988,0.000189017,0.260408133,44800,1986/10/20,0.538040814
1986/10/21,0,0.292968988,0.285156012,0.000210017,0.26774317,326400,1986/10/21,0.537981016
1986/10/22,0,0.296875,0.289063007,0.00022052,0.271411568,1100800,1986/10/22,0.53795111
1986/10/23,0,0.300781012,0.292968988,0.00023102,0.275078952,742400,1986/10/23,0.537921212
1986/10/24,0,0.324218988,0.316406012,0.000294024,0.297084779,1651200,1986/10/24,0.537741811
1986/10/27,0,0.328125,0.320313007,0.000304527,0.300753057,729600,1986/10/27,0.537711906
1986/10/28,0,0.328125,0.320313007,0.000304527,0.300753057,1804800,1986/10/28,0.537711906
1986/10/29,0,0.359375,0.351563007,0.000388534,0.330094904,11667200,1986/10/29,0.5374727
1986/10/30,0,0.375,0.371093988,0.000441038,0.348433286,2150400,1986/10/30,0.537323198
1986/10/31,0,0.371093988,0.365233988,0.000425285,0.342931032,1990400,1986/10/31,0.537368054
1986/11/3,0,0.363281012,0.351563007,0.000388534,0.330094904,1388800,1986/11/3,0.5374727
1986/11/4,0,0.351563007,0.34375,0.000367531,0.322758913,2003200,1986/11/4,0.537532506
1986/11/5,0,0.351563007,0.339843988,0.000357031,0.319091529,1094400,1986/11/5,0.537562404
1986/11/6,0,0.355468988,0.347656012,0.000378031,0.326426476,2329600,1986/11/6,0.537502606
1986/11/7,0,0.363281012,0.351563007,0.000388534,0.330094904,1094400,1986/11/7,0.5374727
1986/11/10,0,0.367188007,0.359375,0.000409535,0.337429792,2528000,1986/11/10,0.537412903
1986/11/11,0,0.363281012,0.359375,0.000409535,0.337429792,876800,1986/11/11,0.537412903
1986/11/12,0,0.367188007,0.359375,0.000409535,0.337429792,441600,1986/11/12,0.537412903
1986/11/13,0,0.363281012,0.355468988,0.000399034,0.333762318,550400,1986/11/13,0.537442801
1986/11/14,0,0.367188007,0.359375,0.000409535,0.337429792,448000,1986/11/14,0.537412903
1986/11/17,0,0.363281012,0.355468988,0.000399034,0.333762318,684800,1986/11/17,0.537442801
1986/11/18,0,0.359375,0.347656012,0.000378031,0.326426476,1062400,1986/11/18,0.537502606
1986/11/19,0,0.355468988,0.347656012,0.000378031,0.326426476,364800,1986/11/19,0.537502606
1986/11/20,0,0.355468988,0.347656012,0.000378031,0.326426476,454400,1986/11/20,0.537502606
1986/11/21,0,0.355468988,0.347656012,0.000378031,0.326426476,89600,1986/11/21,0.537502606
1986/11/24,0,0.355468988,0.347656012,0.000378031,0.326426476,256000,1986/11/24,0.537502606
1986/11/25,0,0.355468988,0.347656012,0.000378031,0.326426476,518400,1986/11/25,0.537502606
1986/11/26,0,0.375,0.369141012,0.000435788,0.346599549,1664000,1986/11/26,0.537338147
1986/11/28,0,0.390625,0.382813007,0.000472541,0.359436631,518400,1986/11/28,0.537233494
1986/12/1,0,0.390625,0.380858988,0.000467288,0.357601941,684800,1986/12/1,0.537248451
1986/12/2,0,0.394531012,0.386718988,0.000483041,0.363104135,908800,1986/12/2,0.537203595
1986/12/3,0,0.390625,0.382813007,0.000472541,0.359436631,422400,1986/12/3,0.537233494
1986/12/4,0,0.394531012,0.386718988,0.000483041,0.363104135,1484800,1986/12/4,0.537203595
1986/12/5,0,0.402343988,0.394531012,0.000504042,0.370438963,1632000,1986/12/5,0.537143798
1986/12/8,0,0.421875,0.414063007,0.000556548,0.388778359,2720000,1986/12/8,0.536994288
1986/12/9,0,0.40625,0.398438007,0.000514545,0.374107391,4563200,1986/12/9,0.537113892
1986/12/10,0,0.40625,0.398438007,0.000514545,0.374107391,3193600,1986/12/10,0.537113892
1986/12/11,0,0.375,0.371093988,0.000441038,0.348433286,7334400,1986/12/11,0.537323198
1986/12/12,0,0.386718988,0.375,0.000451538,0.35210067,492800,1986/12/12,0.5372933
1986/12/15,0,0.382813007,0.371093988,0.000441038,0.348433286,281600,1986/12/15,0.537323198
1986/12/16,0,0.371093988,0.367188007,0.000430538,0.344765723,4204800,1986/12/16,0.537353097
1986/12/17,0,0.367188007,0.363281012,0.000420035,0.341097325,3116800,1986/12/17,0.537383003
1986/12/18,0,0.371093988,0.367188007,0.000430538,0.344765723,966400,1986/12/18,0.537353097
1986/12/19,0,0.375,0.367188007,0.000430538,0.344765723,620800,1986/12/19,0.537353097
1986/12/22,0,0.378906012,0.367188007,0.000430538,0.344765723,1798400,1986/12/22,0.537353097
1986/12/23,0,0.390625,0.382813007,0.000472541,0.359436631,3718400,1986/12/23,0.537233494
1986/12/24,0,0.402343988,0.394531012,0.000504042,0.370438963,1536000,1986/12/24,0.537143798
1986/12/26,0,0.40625,0.398438007,0.000514545,0.374107391,64000,1986/12/26,0.537113892
1986/12/29,0,0.394531012,0.386718988,0.000483041,0.363104135,2348800,1986/12/29,0.537203595
1986/12/30,0,0.398438007,0.390625,0.000493542,0.366771549,544000,1986/12/30,0.537173697
1986/12/31,0,0.410156012,0.398438007,0.000514545,0.374107391,3520000,1986/12/31,0.537113892
1987/1/2,0,0.414063007,0.40625,0.000535545,0.381442457,665600,1987/1/2,0.537054093
1987/1/5,0,0.425781012,0.417968988,0.000567048,0.392445832,742400,1987/1/5,0.536964389
1987/1/6,0,0.433593988,0.421875,0.000577549,0.396113306,3104000,1987/1/6,0.536934491
1987/1/7,0,0.433593988,0.425781012,0.000588049,0.399780899,2368000,1987/1/7,0.536904591
1987/1/8,0,0.445313007,0.441406012,0.000630052,0.414451689,2035200,1987/1/8,0.536784989
1987/1/9,0,0.453125,0.441406012,0.000630052,0.414451689,1913600,1987/1/9,0.536784989
1987/1/12,0,0.46875,0.460938007,0.000682559,0.432790965,3257600,1987/1/12,0.53663548
