Date,Open,High,Low,Close,Adj Close,Volume,date,z
1990/2/16,0,0.079861,0.073785,8.34E-05,0.053230826,940636800,1990/2/16,1.24159653
1990/2/20,0,0.079861,0.074653,0.000119122,0.055025004,151862400,1990/2/20,1.241462938
1990/2/21,0,0.078993,0.075521,9.53E-05,0.05382888,70531200,1990/2/21,1.241551999
1990/2/22,0,0.081597,0.078993,0.00010721,0.054426942,45216000,1990/2/22,1.241507469
1990/2/23,0,0.079861,0.078125,0.000101254,0.054127906,44697600,1990/2/23,1.241529735
1990/2/26,0,0.079861,0.076389,7.15E-05,0.052632779,26928000,1990/2/26,1.241641059
1990/2/27,0,0.079426996,0.076389,9.53E-05,0.05382888,25574400,1990/2/27,1.241551999
1990/2/28,0,0.082465,0.078125,0.000131034,0.055623069,67968000,1990/2/28,1.241418407
1990/3/1,0,0.081597,0.079861,0.000119122,0.055025004,28425600,1990/3/1,1.241462938
1990/3/2,0,0.081597,0.079861,0.000131034,0.055623069,8438400,1990/3/2,1.241418407
1990/3/5,0,0.081597,0.079861,0.000119122,0.055025004,2419200,1990/3/5,1.241462938
1990/3/6,0,0.081597,0.078993,0.000119122,0.055025004,23904000,1990/3/6,1.241462938
1990/3/7,0,0.079861,0.077257,9.53E-05,0.05382888,18172800,1990/3/7,1.241551999
1990/3/8,0,0.078993,0.077257,8.34E-05,0.053230826,33523200,1990/3/8,1.24159653
1990/3/9,0,0.078125,0.077257,8.34E-05,0.053230826,11145600,1990/3/9,1.24159653
1990/3/12,0,0.079861,0.077257,0.00010721,0.054426942,20304000,1990/3/12,1.241507469
1990/3/13,0,0.083333001,0.078993,0.000142947,0.056221142,53020800,1990/3/13,1.241373875
1990/3/14,0,0.091146,0.081597,0.000262083,0.062202428,87350400,1990/3/14,1.240928518
1990/3/15,0,0.090278,0.085069001,0.000202522,0.059212133,38620800,1990/3/15,1.241151171
1990/3/16,0,0.087673999,0.085937999,0.000226346,0.060408249,19929600,1990/3/16,1.24106211
1990/3/19,0,0.091146,0.085069001,0.000262083,0.062202428,43027200,1990/3/19,1.240928518
1990/3/20,0,0.091146,0.082465,0.000154859,0.056819197,43228800,1990/3/20,1.241329345
1990/3/21,0,0.085069001,0.082465,0.000166771,0.057417255,19900800,1990/3/21,1.241284815
1990/3/22,0,0.085069001,0.077257,9.53E-05,0.05382888,43776000,1990/3/22,1.241551999
1990/3/23,0,0.082465,0.078125,0.000131034,0.055623069,16905600,1990/3/23,1.241418407
1990/3/26,0.082465,0.084201001,0.081597,0.000178683,0.058015298,41702400,1990/3/26,1.241240285
1990/3/27,0.083333001,0.085937999,0.082465,0.000202522,0.059212133,15926400,1990/3/27,1.241151171
1990/3/28,0.085937999,0.085937999,0.085069001,0.000190596,0.058613375,9792000,1990/3/28,1.241195754
1990/3/29,0.085069001,0.085069001,0.083333001,0.000190596,0.058613375,16272000,1990/3/29,1.241195754
1990/3/30,0.083333001,0.083333001,0.079861,0.000142947,0.056221142,28742400,1990/3/30,1.241373875
1990/4/2,0.078993,0.080729,0.077257,0.000119122,0.055025004,15868800,1990/4/2,1.241462938
1990/4/3,0.078993,0.081597,0.078993,0.000131034,0.055623069,8352000,1990/4/3,1.241418407
1990/4/4,0.080729,0.081597,0.080729,0.000131034,0.055623069,14284800,1990/4/4,1.241418407
1990/4/5,0.081597,0.081597,0.079861,0.000125078,0.055324029,8323200,1990/4/5,1.241440673
1990/4/6,0.079861,0.080729,0.078993,0.00010721,0.054426942,10771200,1990/4/6,1.241507469
1990/4/9,0.079861,0.079861,0.078125,9.53E-05,0.05382888,6681600,1990/4/9,1.241551999
1990/4/10,0.078125,0.079861,0.074653,7.15E-05,0.052632779,34790400,1990/4/10,1.241641059
1990/4/11,0.076389,0.077257,0.075521,7.15E-05,0.052632779,24796800,1990/4/11,1.241641059
1990/4/12,0.077257,0.077257,0.075521,8.34E-05,0.053230826,13161600,1990/4/12,1.24159653
1990/4/16,0.077257,0.078125,0.076389,8.34E-05,0.053230826,5616000,1990/4/16,1.24159653
1990/4/17,0.076389,0.078125,0.075521,9.53E-05,0.05382888,6566400,1990/4/17,1.241551999
1990/4/18,0.078125,0.079861,0.077257,0.00010721,0.054426942,24480000,1990/4/18,1.241507469
1990/4/19,0.078125,0.079861,0.078125,0.000119122,0.055025004,25142400,1990/4/19,1.241462938
1990/4/20,0.079861,0.079861,0.077257,8.34E-05,0.053230826,8755200,1990/4/20,1.24159653
1990/4/23,0.077257,0.078993,0.076389,9.53E-05,0.05382888,5356800,1990/4/23,1.241551999
1990/4/24,0.079861,0.079861,0.078993,0.000113166,0.054725975,10281600,1990/4/24,1.241485203
1990/4/25,0.079861,0.080729,0.079861,0.000119122,0.055025004,6768000,1990/4/25,1.241462938
1990/4/26,0.079861,0.081597,0.079861,0.000119122,0.055025004,10713600,1990/4/26,1.241462938
1990/4/27,0.079861,0.080729,0.078993,0.00010721,0.054426942,4204800,1990/4/27,1.241507469
1990/4/30,0.080729,0.084201001,0.079861,0.000154859,0.056819197,34329600,1990/4/30,1.241329345
1990/5/1,0.084201001,0.084201001,0.082465,0.000172727,0.057716284,28771200,1990/5/1,1.24126255
1990/5/2,0.083333001,0.084201001,0.082465,0.000154859,0.056819197,3139200,1990/5/2,1.241329345
1990/5/3,0.084201001,0.085069001,0.083333001,0.000190596,0.058613375,7228800,1990/5/3,1.241195754
1990/5/4,0.084201001,0.085937999,0.084201001,0.000202522,0.059212133,5702400,1990/5/4,1.241151171
1990/5/7,0.085937999,0.088541999,0.085937999,0.000214434,0.059810199,13536000,1990/5/7,1.24110664
1990/5/8,0.088541999,0.088541999,0.085937999,0.000226346,0.060408249,14486400,1990/5/8,1.24106211
1990/5/9,0.087673999,0.087673999,0.085069001,0.000202522,0.059212133,9676800,1990/5/9,1.241151171
1990/5/10,0.086805999,0.086805999,0.085069001,0.000190596,0.058613375,2793600,1990/5/10,1.241195754
1990/5/11,0.088541999,0.08941,0.085069001,0.000202522,0.059212133,29923200,1990/5/11,1.241151171
1990/5/14,0.087673999,0.087673999,0.085937999,0.000202522,0.059212133,15235200,1990/5/14,1.241151171
1990/5/15,0.087673999,0.087673999,0.085937999,0.000208478,0.059511185,24134400,1990/5/15,1.241128904
1990/5/16,0.087673999,0.087673999,0.085069001,0.000202522,0.059212133,18720000,1990/5/16,1.241151171
1990/5/17,0.086805999,0.086805999,0.085937999,0.000214434,0.059810199,6595200,1990/5/17,1.24110664
1990/5/18,0.085937999,0.086805999,0.084201001,0.000190596,0.058613375,45417600,1990/5/18,1.241195754
1990/5/21,0.084201001,0.086805999,0.084201001,0.000190596,0.058613375,4032000,1990/5/21,1.241195754
1990/5/22,0.085069001,0.085937999,0.085069001,0.000190596,0.058613375,22982400,1990/5/22,1.241195754
1990/5/23,0.085069001,0.085937999,0.084201001,0.000178683,0.058015298,39715200,1990/5/23,1.241240285
1990/5/24,0.085937999,0.085937999,0.084201001,0.000202522,0.059212133,8121600,1990/5/24,1.241151171
1990/5/25,0.083333001,0.085069001,0.082465,0.000166771,0.057417255,4003200,1990/5/25,1.241284815
1990/5/29,0.083333001,0.085069001,0.081597,0.000154859,0.056819197,20707200,1990/5/29,1.241329345
1990/5/30,0.083333001,0.083333001,0.080729,0.000142947,0.056221142,96278400,1990/5/30,1.241373875
1990/5/31,0.080729,0.086805999,0.080729,0.000202522,0.059212133,102988800,1990/5/31,1.241151171
1990/6/1,0.085937999,0.088541999,0.085069001,0.000214434,0.059810199,103132800,1990/6/1,1.24110664
1990/6/4,0.087673999,0.08941,0.085937999,0.00025017,0.061604358,48499200,1990/6/4,1.24097305
1990/6/5,0.088541999,0.09375,0.088541999,0.000297819,0.063996613,56131200,1990/6/5,1.240794926
1990/6/6,0.092882,0.092882,0.090278,0.000285907,0.063398562,23241600,1990/6/6,1.240839456
1990/6/7,0.092882,0.092882,0.088541999,0.00025017,0.061604358,18144000,1990/6/7,1.24097305
1990/6/8,0.090278,0.090278,0.086805999,0.000226346,0.060408249,6566400,1990/6/8,1.24106211
1990/6/11,0.085069001,0.087673999,0.085069001,0.00022039,0.060109217,3686400,1990/6/11,1.241084376
1990/6/12,0.087673999,0.097222,0.086805999,0.000333556,0.065790817,133401600,1990/6/12,1.240661333
1990/6/13,0.097222,0.097222,0.096354,0.000345468,0.066388845,52099200,1990/6/13,1.240616804
1990/6/14,0.097222,0.09809,0.095486,0.00035738,0.066986904,54374400,1990/6/14,1.240572274
1990/6/15,0.095486,0.097222,0.095486,0.000333556,0.065790817,6537600,1990/6/15,1.240661333
1990/6/18,0.097222,0.097222,0.092014,0.000309732,0.064594664,11923200,1990/6/18,1.240750396
1990/6/19,0.090278,0.092882,0.090278,0.000297819,0.063996613,20851200,1990/6/19,1.240794926
1990/6/20,0.092882,0.094618,0.092014,0.000309732,0.064594664,30124800,1990/6/20,1.240750396
