Date,Open,High,Low,Close,Adj Close,Volume,date,z
1970/1/2,17.42351723,17.48327065,17.39961815,0.042353369,3.856882811,330536,1970/1/2,0.905410697
1970/1/5,17.49522018,17.60277176,17.49522018,0.043201643,3.893894911,443504,1970/1/5,0.904515646
1970/1/6,17.60277176,17.63862228,17.50716972,0.04326224,3.896538496,510448,1970/1/6,0.904451717
1970/1/7,17.61472321,17.62667274,17.50716972,0.043322828,3.89917922,479068,1970/1/7,0.904387857
1970/1/8,17.62667274,17.66252327,17.56692123,0.0435046,3.907111883,740568,1970/1/8,0.904196024
1970/1/9,17.66252327,17.71032524,17.61472321,0.043383416,3.901823997,612956,1970/1/9,0.904323899
1970/1/12,17.63862228,17.67447472,17.57887268,0.043080468,3.888607264,397480,1970/1/12,0.904643515
1970/1/13,17.57887268,17.97323036,17.57887268,0.044625543,3.956018686,778224,1970/1/13,0.903013327
1970/1/14,17.88360405,17.94933128,17.82982826,0.044534657,3.952051163,410032,1970/1/14,0.903109272
1970/1/15,17.9254303,18.23613739,17.9254303,0.046412988,4.03399992,441412,1970/1/15,0.901127533
1970/1/16,18.23613739,18.49904442,17.63862228,0.043565198,3.909754992,1343064,1970/1/16,0.904132107
1970/1/19,16.97538185,16.97538185,16.70650101,0.038778479,3.700918913,778224,1970/1/19,0.909182321
1970/1/20,16.73040199,17.06501007,16.49139595,0.040353853,3.769649982,1759372,1970/1/20,0.90752022
1970/1/21,17.04110909,17.04110909,16.89770508,0.039990298,3.753787756,989516,1970/1/21,0.907903811
1970/1/22,16.96940613,17.06501007,16.9335556,0.040232668,3.764360189,667348,1970/1/22,0.907648141
1970/1/23,17.0172081,17.16061211,17.0172081,0.040232668,3.764360189,853536,1970/1/23,0.907648141
1970/1/26,16.92160606,16.92160606,16.65870094,0.038414934,3.685056448,728016,1970/1/26,0.909565917
1970/1/27,16.52724648,16.52724648,16.30019188,0.037627238,3.650691271,1138048,1970/1/27,0.910396959
1970/1/28,16.50334549,16.59894753,16.26433945,0.036597191,3.60575223,884916,1970/1/28,0.911483705
1970/1/29,16.30019188,16.47944641,15.97753334,0.035991276,3.579316616,1121312,1970/1/29,0.912122989
1970/1/30,16.0223465,16.47944641,15.97753334,0.035188435,3.544288635,447688,1970/1/30,0.912970059
1970/2/2,16.10898781,16.39579391,16.10898781,0.03708192,3.626901627,826340,1970/2/2,0.910972256
1970/2/3,16.39579391,16.57504845,16.08508682,0.037142508,3.629544258,1188256,1970/2/3,0.91090835
1970/2/4,16.40774345,16.57504845,16.08508682,0.037142508,3.629544258,945584,1970/2/4,0.91090835
1970/2/5,16.22848892,16.22848892,16.00143433,0.036051864,3.581958532,855628,1970/2/5,0.9120591
1970/2/6,16.1926384,16.50334549,16.16873741,0.037506062,3.645404577,736384,1970/2/6,0.910524806
1970/2/9,16.56309891,16.80210304,16.56309891,0.038717882,3.698273897,596220,1970/2/9,0.909246284
1970/2/10,16.71845055,16.80210304,16.46749496,0.03780902,3.65862298,535552,1970/2/10,0.910205149
1970/2/11,16.67065048,16.96940613,16.67065048,0.039990298,3.753787756,610864,1970/2/11,0.907903811
1970/2/12,16.96940613,16.96940613,16.75430107,0.039263209,3.722064257,523000,1970/2/12,0.90867097
1970/2/13,16.82600403,16.82600403,16.61089897,0.038536109,3.690344572,520908,1970/2/13,0.909438036
1970/2/16,16.68260002,16.76625252,16.62284851,0.038596707,3.692987442,433044,1970/2/16,0.909374125
1970/2/17,16.69455147,16.71845055,16.53919792,0.038717882,3.698273897,464424,1970/2/17,0.909246284
1970/2/18,16.71845055,16.95745659,16.70650101,0.039081436,3.714135408,410032,1970/2/18,0.908862711
1970/2/19,16.82600403,16.94550705,16.82600403,0.039263209,3.722064257,679900,1970/2/19,0.90867097
1970/2/20,16.82600403,16.84990311,16.63479805,0.038657294,3.695630074,673624,1970/2/20,0.909310219
1970/2/24,16.65870094,16.65870094,16.46749496,0.037445465,3.6427598,389112,1970/2/24,0.910588763
1970/2/25,16.46749496,16.68260002,16.01338387,0.03756665,3.648048639,1280304,1970/2/25,0.910460865
1970/2/26,16.49139595,16.49139595,16.22848892,0.037384878,3.640115738,594128,1970/2/26,0.910652704
1970/2/27,16.45554543,16.49139595,16.26433945,0.036415409,3.597821951,604588,1970/2/27,0.91167548
1970/3/2,16.26433945,16.30019188,16.00143433,0.035264177,3.547593594,1039724,1970/3/2,0.912890136
1970/3/3,16.03728485,16.03728485,15.91778183,0.034718855,3.523803711,849352,1970/3/3,0.913465439
1970/3/4,15.92973232,16.00143433,15.70267677,0.033870575,3.486792564,1117128,1970/3/4,0.914360467
1970/3/5,15.76242828,15.86998081,15.72657681,0.033749395,3.481506586,673624,1970/3/5,0.914488297
1970/3/6,15.73255253,15.73255253,15.46367073,0.032779931,3.439209461,1161060,1970/3/6,0.915511154
1970/3/9,15.29636669,15.29636669,15.0693121,0.030719823,3.349329948,1527160,1970/3/9,0.917684681
1970/3/10,15.22466469,15.60707474,15.22466469,0.033082889,3.452427864,991608,1970/3/10,0.915191498
1970/3/11,15.60707474,15.86998081,15.53537273,0.033567618,3.47357583,991608,1970/3/11,0.914680083
1970/3/12,15.70267677,15.71462727,15.54134846,0.033628211,3.476218224,673624,1970/3/12,0.914616183
1970/3/13,15.71462727,15.72657681,15.49952221,0.032537566,3.428637028,453964,1970/3/13,0.915766824
1970/3/16,15.38001919,15.38001919,15.22466469,0.03150751,3.383696795,784500,1970/3/16,0.916853598
1970/3/17,15.29636669,15.48757172,15.26051617,0.032113424,3.410131216,832616,1970/3/17,0.916214344
1970/3/18,15.41586971,15.49952221,15.40392017,0.032052837,3.407487154,629692,1970/3/18,0.916278284
1970/3/19,15.40392017,15.47562122,15.35611916,0.032083131,3.408809662,506264,1970/3/19,0.916246302
1970/3/20,15.40989494,15.4397707,15.18881512,0.031446922,3.381052256,765672,1970/3/20,0.91691755
1970/3/23,15.28441715,15.42782021,15.18881512,0.03199224,3.404845238,349364,1970/3/23,0.916342173
1970/3/24,15.39196873,15.67877579,15.39196873,0.033446433,3.468289614,451872,1970/3/24,0.914807918
1970/3/25,15.75047779,16.10898781,15.75047779,0.034658262,3.521160126,1303316,1970/3/25,0.913529368
1970/3/26,15.91778183,16.01338387,15.90583229,0.034718855,3.523803711,470700,1970/3/26,0.913465439
1970/3/30,15.97753334,16.14483643,15.97753334,0.035567134,3.56081152,533460,1970/3/30,0.912570491
1970/3/31,16.09703636,16.18068886,16.06118584,0.035991276,3.579316616,617140,1970/3/31,0.912122989
1970/4/1,16.18068886,16.27629089,16.12093735,0.035809494,3.571387529,546012,1970/4/1,0.912314735
1970/4/2,16.10898781,16.10898781,15.85803127,0.034415898,3.510585546,437228,1970/4/2,0.91378509
1970/4/3,15.8102293,15.8102293,15.57122421,0.033082889,3.452427864,485344,1970/4/3,0.915191498
1970/4/6,15.46367073,15.46367073,15.17686367,0.031628695,3.388983488,935124,1970/4/6,0.916725752
1970/4/7,15.32026768,15.4397707,15.24856567,0.03150751,3.383696795,581576,1970/4/7,0.916853598
1970/4/8,15.29636669,15.48757172,15.27246666,0.032476974,3.425993204,447688,1970/4/8,0.915830758
1970/4/9,15.55927277,15.79827881,15.55927277,0.032901116,3.444497108,642244,1970/4/9,0.915383285
1970/4/10,15.57122421,16.10898781,15.57122421,0.034294713,3.505298376,1566908,1970/4/10,0.913912948
1970/4/13,15.82217979,15.82217979,15.60109901,0.033204069,3.457714558,443504,1970/4/13,0.915063651
1970/4/14,15.60707474,15.60707474,15.35611916,0.032658751,3.433922768,663164,1970/4/14,0.915639
1970/4/15,15.52342319,15.63097477,15.42782021,0.032295202,3.418063402,466516,1970/4/15,0.916022522
1970/4/16,15.45172119,15.53537273,15.32026768,0.031689287,3.391627312,481160,1970/4/16,0.916661817
1970/4/17,15.33221817,15.46367073,15.27246666,0.032113424,3.410131216,571116,1970/4/17,0.916214344
1970/4/20,15.4397707,15.57122421,15.4397707,0.032598154,3.431278944,458148,1970/4/20,0.915702935
1970/4/21,15.51147175,15.53537273,15.34416771,0.031749875,3.394269705,449780,1970/4/21,0.916597917
1970/4/22,15.27844238,15.27844238,14.96175861,0.029810951,3.30967927,1416284,1970/4/22,0.91864354
1970/4/23,14.96175861,15.03346062,14.79445457,0.028992971,3.273991585,1108760,1970/4/23,0.919506563
1970/4/24,14.8004303,14.89005661,14.62715054,0.028841487,3.26738143,891192,1970/4/24,0.919666414
1970/4/27,14.77055359,14.81835556,14.32241917,0.027023753,3.188075781,1717532,1970/4/27,0.921584237
1970/4/28,14.32839394,14.32839394,13.8623333,0.024297138,3.069118023,2115012,1970/4/28,0.924460953
1970/4/29,13.87428284,14.38814545,13.68307781,0.026720791,3.174859524,2177772,1970/4/29,0.921903841
1970/4/30,14.35229397,14.35229397,14.07743835,0.026175474,3.151067972,966504,1970/4/30,0.922479184
1970/5/1,14.24474239,14.29254341,13.95793533,0.025872512,3.15053606,958136,1970/5/1,0.922492047
1970/5/4,14.08341312,14.08341312,13.4799242,0.022539992,3.004554987,1801212,1970/5/4,0.92602226
1970/5/5,13.52772522,13.57552624,13.3365202,0.022539992,3.004554987,1441388,1970/5/5,0.92602226
1970/5/6,13.52772522,13.91013432,13.4082222,0.023630636,3.05232954,1677784,1970/5/6,0.924866943
1970/5/7,13.74283028,13.86830807,13.74283028,0.024175953,3.076219082,571116,1970/5/7,0.92428923
1970/5/8,13.85038185,13.88623333,13.71892929,0.024357731,3.084180593,560656,1970/5/8,0.9240967
1970/5/11,13.83843231,13.83843231,13.62332726,0.023145906,3.031095266,483252,1970/5/11,0.925380445
1970/5/12,13.64722824,13.7786808,13.28871918,0.022418807,2.999247789,1018804,1970/5/12,0.926150602
1970/5/13,13.3245697,13.3245697,13.10946465,0.020601064,2.919618607,1719624,1970/5/13,0.928076248
1970/5/14,13.12141514,13.12141514,12.52390099,0.01902569,2.850613832,1742636,1970/5/14,0.929744968
1970/5/15,12.83460808,12.9541111,12.571702,0.019571012,2.874500275,2192416,1970/5/15,0.92916733
1970/5/18,12.94216061,12.97801113,12.8824091,0.019389239,2.866537571,824248,1970/5/18,0.929359889
1970/5/19,12.83460808,12.83460808,12.35659695,0.016602037,2.744442463,1064828,1970/5/19,0.932312475
1970/5/20,12.21319294,12.21319294,11.92638588,0.014663108,2.659509182,1648496,1970/5/20,0.934366388
1970/5/21,11.7471323,11.7471323,11.32887173,0.013451284,2.606425285,2652656,1970/5/21,0.935650099
1970/5/22,11.73518181,11.95028687,11.61567879,0.014057199,2.632967472,1217544,1970/5/22,0.935008238
1970/5/25,11.8188343,11.8188343,11.5200758,0.012360635,2.558647871,1058552,1970/5/25,0.936805484
1970/5/26,11.5200758,11.8188343,11.37667274,0.012603005,2.569265604,2414168,1970/5/26,0.936548719
1970/5/27,11.71128082,12.45219898,11.71128082,0.016723217,2.749753475,1960204,1970/5/27,0.93218404
1970/5/28,12.38049698,12.7987566,12.38049698,0.01866214,2.834685087,2186140,1970/5/28,0.930130167
1970/5/29,12.76290607,13.37237072,12.59560204,0.021328163,2.951471329,1861880,1970/5/29,0.927305964
1970/6/1,13.28871918,13.71892929,13.19311714,0.023509451,3.047021866,1736360,1970/6/1,0.924995297
1970/6/2,13.69502926,13.69502926,13.34846973,0.022539992,3.004554987,1261476,1970/6/2,0.92602226
1970/6/3,13.52772522,13.61137676,13.28871918,0.022539992,3.004554987,1399548,1970/6/3,0.92602226
1970/6/4,13.44407272,13.44407272,12.91825962,0.019692192,2.879807949,1129680,1970/6/4,0.929038976
1970/6/5,12.96606064,13.06166267,12.63145256,0.019389239,2.866537571,1612932,1970/6/5,0.929359889
1970/6/8,12.90631008,13.07361412,12.67925358,0.018480363,2.826723337,642244,1970/6/8,0.930322704
1970/6/9,12.7270546,12.8824091,12.66730404,0.018965097,2.84795785,694544,1970/6/9,0.929809196
1970/6/10,12.82265759,12.84655762,12.52390099,0.018298595,2.818761587,675716,1970/6/10,0.93051524
1970/6/11,12.53585052,12.53585052,12.36854744,0.016783809,2.752408266,933032,1970/6/11,0.932119841
1970/6/12,12.39244747,12.428298,12.10564137,0.016723217,2.749753475,1002068,1970/6/12,0.93218404
1970/6/15,12.38049698,12.571702,12.16539192,0.016723217,2.749753475,782408,1970/6/15,0.93218404
1970/6/16,12.38647175,12.9541111,12.38647175,0.019631604,2.877153873,696636,1970/6/16,0.929103159
1970/6/17,12.9541111,13.03776264,12.67925358,0.018359183,2.821415663,939308,1970/6/17,0.930451057
1970/6/18,12.70315456,13.00191212,12.428298,0.019873969,2.887770176,843076,1970/6/18,0.928846428
1970/6/19,13.00191212,13.1811657,12.91825962,0.019449827,2.869190454,755212,1970/6/19,0.929295735
1970/6/22,12.91825962,13.06166267,12.67327881,0.01902569,2.850613832,725924,1970/6/22,0.929744968
1970/6/23,12.83460808,12.90631008,12.29086971,0.016268781,2.729845524,759396,1970/6/23,0.932665468
1970/6/24,12.29086971,12.53585052,12.18929291,0.015753757,2.707284212,1129680,1970/6/24,0.933211061
1970/6/25,12.2729454,12.52390099,12.2729454,0.016480852,2.739137411,1640128,1970/6/25,0.932440765
1970/6/26,12.33269596,12.47609901,12.2012434,0.016359667,2.733827114,895376,1970/6/26,0.932569182
1970/6/29,12.30879498,12.428298,12.16539192,0.016359667,2.733827114,901652,1970/6/29,0.932569182
1970/6/30,12.30879498,12.41634846,11.95028687,0.014541928,2.654201031,1146416,1970/6/30,0.934494754
1970/7/1,11.95028687,12.17734241,11.9443121,0.015511388,2.696668625,813788,1970/7/1,0.933467774
1970/7/2,12.14149094,12.2012434,11.95028687,0.014723706,2.662165165,790776,1970/7/2,0.93430216
1970/7/6,11.96821213,11.96821213,11.6634798,0.013208915,2.595807552,861904,1970/7/6,0.935906864
1970/7/7,11.68737984,11.8188343,11.56787777,0.012724185,2.574575663,1004160,1970/7/7,0.936420308
1970/7/8,11.63957882,12.06978989,11.63957882,0.015147843,2.680743456,1257292,1970/7/8,0.933852887
1970/7/9,12.06978989,12.23709393,11.9741869,0.015571985,2.699321985,968596,1970/7/9,0.933403609
