Date,Open,High,Low,Close,Adj Close,Volume,date,z
2017/10/19,33,34,29.10000038,0.012389066,32.06999969,11508500,2017/10/19,1.132902455
2017/10/20,33.36999893,33.36999893,30.10000038,0.009659939,30.68000031,2358700,2017/10/20,1.142898083
2017/10/23,30.51000023,31.32999992,30.19000053,0.009306526,30.5,749400,2017/10/23,1.144192484
2017/10/24,30.45999908,30.92000008,30.43899918,0.009443963,30.56999969,420700,2017/10/24,1.143689109
2017/10/25,30.5,31.10000038,29.87999916,0.010288227,31,1219400,2017/10/25,1.140596933
2017/10/26,31.68000031,31.72999954,30.72900009,0.010484568,31.10000038,605200,2017/10/26,1.13987782
2017/10/27,31.01000023,31.29000092,30,0.010072251,30.88999939,549500,2017/10/27,1.141387958
2017/10/30,30.69000053,30.69000053,29.59000015,0.008030315,29.85000038,727800,2017/10/30,1.148866698
2017/10/31,29.79999924,30.68000031,29.79999924,0.009267257,30.47999954,318100,2017/10/31,1.144336309
2017/11/1,30.37000084,30.56999969,29.70199966,0.007932143,29.79999924,432000,2017/11/1,1.149226262
2017/11/2,29.71999931,30.45999908,29.6609993,0.008226656,29.95000076,313400,2017/11/2,1.148147585
2017/11/3,29.88999939,30.17000008,29.35000038,0.007598364,29.62999916,229200,2017/11/3,1.15044875
2017/11/6,29.62999916,30.71999931,29.36000061,0.009522501,30.61000061,304800,2017/11/6,1.143401458
2017/11/7,30.61000061,30.88999939,29.70999908,0.007951777,29.80999947,279000,2017/11/7,1.149154349
2017/11/8,29.69000053,29.98999977,29.40999985,0.008089215,29.87999916,241300,2017/11/8,1.148650974
2017/11/9,29.70000076,29.89999962,29.01000023,0.00679337,29.21999931,204700,2017/11/9,1.153397101
2017/11/10,29.15999985,30.26000023,29.15999985,0.008717506,30.20000076,137500,2017/11/10,1.146349809
2017/11/13,29.64999962,31.11000061,29.29700089,0.009659939,30.68000031,296200,2017/11/13,1.142898083
2017/11/14,30.68000031,30.70000076,29.69499969,0.008089215,29.87999916,124400,2017/11/14,1.148650974
2017/11/15,29.76000023,30.1060009,29.56999969,0.007598364,29.62999916,176000,2017/11/15,1.15044875
